labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
1,39,SGD,0.005,2.2990981227874756,0.1135,2.2990981227874756,0.1135,0.0,0.0,3.338754331925884,3.4649539401289076,0.694819089025259,7.502704139100388,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,40,SGD,0.005,2.3003306533813475,0.1135,2.3003306533813475,0.1135,0.0,0.0,3.3325417288579047,3.2421855400316417,0.6652052339632064,7.246385607868433,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,41,SGD,0.005,2.298557844161987,0.1135,2.298557844161987,0.1135,0.0,0.0,3.3786766519770026,3.3109235770534724,0.6586252059787512,7.3557265310082585,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,42,SGD,0.005,2.2984593338012695,0.1135,2.2984593338012695,0.1135,0.0,0.0,3.089004618115723,3.3734209609683603,0.6735947770066559,7.139014594024047,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,43,SGD,0.005,2.2985559501647947,0.1135,2.2985559501647947,0.1135,0.0,0.0,3.2462577091064304,3.443998453905806,0.6863651990424842,7.383758456911892,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,44,SGD,0.005,2.2986474227905274,0.1135,2.2986474227905274,0.1135,0.0,0.0,3.2833391330204904,3.3236256369855255,0.6770743979141116,7.287845778977498,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,45,SGD,0.005,2.2963548664093016,0.1334,2.2963548664093016,0.1334,0.0,0.0,3.417344609973952,3.3697922190185636,0.6814251248724759,7.471187063958496,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,46,SGD,0.005,2.296704470062256,0.1135,2.296704470062256,0.1135,0.0,0.0,3.260442730039358,3.5047221339773387,0.7072680138517171,7.479775449028239,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,47,SGD,0.005,2.295018213272095,0.1238,2.295018213272095,0.1238,0.0,0.0,3.3800472798757255,3.386435812106356,0.7007424118928611,7.472808650927618,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,48,SGD,0.005,2.2961086666107176,0.1135,2.2961086666107176,0.1135,0.0,0.0,3.2365046420600265,3.24803697806783,0.6607615891844034,7.147897513117641,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,49,SGD,0.005,2.2970213905334473,0.1135,2.2970213905334473,0.1135,0.0,0.0,3.227884912164882,3.400947022018954,0.7094375770539045,7.346019438933581,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
1,50,SGD,0.005,2.2952989917755127,0.1144,2.2952989917755127,0.1144,0.0,0.0,3.237956289900467,3.2948030799161643,0.6702997621614486,7.20566993416287,results/weights/fl_vs_sfl_noniid_label_skew/labels_1_per_client
2,1,SGD,0.005,2.3116637683868406,0.0892,2.3116637683868406,0.0892,0.0,0.0,3.391345968004316,3.436810287181288,0.6830090859439224,7.515287852147594,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,2,SGD,0.005,2.3103263153076172,0.0892,2.3103263153076172,0.0892,0.0,0.0,3.2496514811646193,3.317902388982475,0.6560838560108095,7.2292617270722985,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,3,SGD,0.005,2.309050680541992,0.0892,2.309050680541992,0.0892,0.0,0.0,3.20868901303038,3.255354054039344,0.6592962821014225,7.130367817124352,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,4,SGD,0.005,2.3078468334198,0.0892,2.3078468334198,0.0892,0.0,0.0,3.1860333459917456,3.384089711122215,0.6905557389836758,7.263374096946791,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,5,SGD,0.005,2.3066964363098146,0.0903,2.3066964363098146,0.0903,0.0,0.0,3.1847781718242913,3.514939200831577,0.6866375170648098,7.389027051161975,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,6,SGD,0.005,2.3055949253082275,0.1089,2.3055949253082275,0.1089,0.0,0.0,3.2270007950719446,3.450774310855195,0.6811733131762594,7.362017242005095,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
