scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
attack_client_0_scale_minus_5p0,True,0,-5.0,1,9,SGD,0.005,85.99532318115234,0.0892,85.99532318115234,0.0892,0.0,0.0,3.0862254970707,3.2617952621076256,0.6538383159786463,7.0047978821676224,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,10,SGD,0.005,445.1280631347656,0.1032,445.1280631347656,0.1032,0.0,0.0,3.1487220169510692,3.207196508999914,0.6719880138989538,7.030913278926164,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,11,SGD,0.005,11160.299609375,0.101,11160.299609375,0.101,0.0,0.0,3.272735808044672,3.2814675560221076,0.6638256481382996,7.220967196160927,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,12,SGD,0.005,205139520.7168,0.0974,205139520.7168,0.0974,0.0,0.0,3.2821992598474026,3.3195817810483277,0.6748167958576232,7.281100975116715,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,13,SGD,0.005,1.0796545872219696e+25,0.101,1.0796545872219696e+25,0.101,0.0,0.0,3.061739433091134,3.0935451379045844,0.6721656271256506,6.8304678469430655,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,14,SGD,0.005,,0.098,,0.098,0.0,,3.100620924960822,3.42954089702107,0.6635147368069738,7.196782768005505,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,15,SGD,0.005,,0.098,,0.098,0.0,,3.1430177679285407,3.201824652031064,0.6574778079520911,7.005341141950339,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,16,SGD,0.005,,0.098,,0.098,0.0,,3.068813990103081,3.276308477157727,0.6546592910308391,7.005440508015454,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,17,SGD,0.005,,0.098,,0.098,0.0,,3.162614817963913,3.2020757168065757,0.6782719038892537,7.045942682074383,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,18,SGD,0.005,,0.098,,0.098,0.0,,3.1562367100268602,3.3112410218454897,0.6702593590598553,7.1407024641521275,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,19,SGD,0.005,,0.098,,0.098,0.0,,3.2684695010539144,3.3961717509664595,0.6627467479556799,7.33034936292097,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,20,SGD,0.005,,0.098,,0.098,0.0,,3.1951198528986424,3.355854569002986,0.6590119081083685,7.21276372205466,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,21,SGD,0.005,,0.098,,0.098,0.0,,2.944064631126821,3.287186980014667,0.6642769970931113,6.898205152945593,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,22,SGD,0.005,,0.098,,0.098,0.0,,3.114403426181525,3.2752079118508846,0.6629198868758976,7.055480222916231,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,23,SGD,0.005,,0.098,,0.098,0.0,,3.1934922840446234,3.4348853891715407,0.6805042899213731,7.311818891204894,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,24,SGD,0.005,,0.098,,0.098,0.0,,3.0216497040819377,3.4065296340268105,0.6651653600856662,7.098502346081659,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,25,SGD,0.005,,0.098,,0.098,0.0,,3.1119162729009986,3.269150126958266,0.6559412539936602,7.039604219142348,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,26,SGD,0.005,,0.098,,0.098,0.0,,2.9930824781768024,3.3686809479258955,0.6808181740343571,7.045537379803136,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
